time,accel[0],accel[1],accel[2],global_accel[0],global_accel[1],global_accel[2],global_accel_avg[0],global_accel_avg[1],global_accel_avg[2],global_vel_avg[0],global_vel_avg[1],global_vel_avg[2]
946685061.71496499,-0.045143011957406998,0.30789491534233093,-8.602874755859375,0.21916492283344269,0.22091606259346008,-8.602874755859375,0.1347026526927948,0.2452571839094162,-8.9952936172485352,0.11104703694581985,1.4168965816497803,-61.200183868408203
946685061.75396645,-0.31907150149345398,0.24744746088981628,-8.0824375152587891,0.0063958805985748768,0.40372759103775024,-8.0824375152587891,0.11866430938243866,0.265065997838974,-8.8811864852905273,0.11104703694581985,1.4168965816497803,-61.200183868408203
946685061.785308,-0.48753577470779419,0.31122374534606934,-8.2912187576293945,-0.043712738901376724,0.57674998044967651,-8.2912187576293945,0.10062241554260254,0.29969754815101624,-8.8156347274780273,0.11104703694581985,1.4168965816497803,-61.200183868408203
946685061.8243705,-0.13476788997650146,0.21811187267303467,-8.5206089019775391,0.09355829656124115,0.23870906233787537,-8.5206089019775391,0.0999160036444664,0.2935987114906311,-8.7861318588256836,0.14616766571998596,1.520097017288208,-64.288520812988281
946685061.85574257,0.13561604917049408,0.10905593633651733,-8.5883045196533203,0.16862708330154419,-0.043009497225284576,-8.5883045196533203,0.16862708330154419,-0.043009497225284576,-8.5883045196533203,0.14616766571998596,1.520097017288208,-64.288520812988281
946685061.894683,0.23930802941322327,-0.11697202920913696,-8.3096523284912109,0.050084430724382401,-0.26161485910415649,-8.3096523284912109,0.10935575515031815,-0.15231217443943024,-8.4489784240722656,0.14616766571998596,1.520097017288208,-64.288520812988281
946685061.92617714,0.13515400886535645,0.17551398277282715,-8.685826301574707,0.22150442004203796,-0.0027494253590703011,-8.685826301574707,0.14673864841461182,-0.1024579256772995,-8.5279273986816406,0.14616766571998596,1.520097017288208,-64.288520812988281
946685061.97283852,0.17657700181007385,0.50925695896148682,-8.7804126739501953,0.51330322027206421,0.16444411873817444,-8.7804126739501953,0.23837979137897491,-0.035732414573431015,-8.5910491943359375,0.14616766571998596,1.520097017288208,-64.288520812988281
946685062.00750649,0.15078850090503693,0.27012848854064941,-8.8277063369750977,0.30656364560127258,0.04153679683804512,-8.8277063369750977,0.2520165741443634,-0.020278573036193848,-8.6383810043334961,0.14616766571998596,1.520097017288208,-64.288520812988281
946685062.050933,0.090894252061843872,0.33806425333023071,-8.7728538513183594,0.32494953274726868,0.13021908700466156,-8.7728538513183594,0.26417207717895508,0.0048043704591691494,-8.6607933044433594,0.14616766571998596,1.520097017288208,-64.288520812988281
946685062.09002602,0.091947123408317566,0.23153212666511536,-8.370427131652832,0.24037466943264008,0.065432541072368622,-8.370427131652832,0.26077243685722351,0.013465537689626217,-8.6193122863769531,0.14616766571998596,1.520097017288208,-64.288520812988281
946685062.129058,-0.25052642822265625,0.25626605749130249,-8.6852130889892578,0.054592426866292953,0.35419690608978271,-8.6852130889892578,0.23499993979930878,0.056056957691907883,-8.6275501251220703,0.14616766571998596,1.520097017288208,-64.288520812988281
946685062.1681205,-0.18776321411132812,0.40913301706314087,-8.4986066818237305,0.21453166007995605,0.39575374126434326,-8.4986066818237305,0.23272567987442017,0.093801043927669525,-8.6132230758666992,0.14616766571998596,1.520097017288208,-64.288520812988281
946685062.207183,-0.062881603837013245,0.26706650853157043,-8.9523029327392578,0.17586207389831543,0.21059711277484894,-8.9523029327392578,0.22703932225704193,0.10548064857721329,-8.6471309661865234,0.22595846652984619,1.5571671724319458,-67.327468872070312
946685062.23864663,0.23405921459197998,-0.0069667398929595947,-9.4761514663696289,0.13491864502429962,-0.1913875937461853,-9.4761514663696289,0.13491864502429962,-0.1913875937461853,-9.4761514663696289,0.22595846652984619,1.5571671724319458,-67.327468872070312
946685062.2774955,-0.52347040176391602,0.5120166540145874,-11.269075393676758,0.095316752791404724,0.72601449489593506,-11.269075393676758,0.11511769890785217,0.26731345057487488,-10.372613906860352,0.22595846652984619,1.5571671724319458,-67.327468872070312
946685062.316558,-0.32423520088195801,0.30250832438468933,-11.79053783416748,0.04733537882566452,0.44090715050697327,-11.79053783416748,0.092523589730262756,0.32517802715301514,-10.845254898071289,0.22595846652984619,1.5571671724319458,-67.327468872070312
946685062.34789956,-0.412117600440979,0.21375416219234467,-12.80126953125,-0.076402418315410614,0.45792403817176819,-12.80126953125,0.050292089581489563,0.3583645224571228,-11.334259033203125,0.22595846652984619,1.5571671724319458,-67.327468872070312
946685062.3868705,-0.2060588002204895,0.73187708854675293,-13.025634765625,0.46168807148933411,0.60410964488983154,-13.025634765625,0.13257128000259399,0.40751355886459351,-11.672533988952637,0.22595846652984619,1.5571671724319458,-67.327468872070312
946685062.425933,-0.41552940011024475,0.83443856239318848,-13.918817520141602,0.41798725724220276,0.83321011066436768,-13.918817520141602,0.18014061450958252,0.47846299409866333,-12.046915054321289,0.22595846652984619,1.5571671724319458,-67.327468872070312
946685062.47283852,-0.19226470589637756,0.57321929931640625,-13.865408897399902,0.34306967258453369,0.4978446364402771,-13.865408897399902,0.20341619849205017,0.48123180866241455,-12.306699752807617,0.22595846652984619,1.5571671724319458,-67.327468872070312
946685062.51190102,-0.14263235032558441,0.47410964965820312,-13.135704040527344,0.29359063506126404,0.39865836501121521,-13.135704040527344,0.2146880030632019,0.47091013193130493,-12.410325050354004,0.22595846652984619,1.5571671724319458,-67.327468872070312
946685062.550933,-0.086816176772117615,0.17455482482910156,-12.239352226257324,0.087502725422382355,0.17421168088912964,-12.239352226257324,0.20055630803108215,0.43794363737106323,-12.391327857971191,0.22595846652984619,1.5571671724319458,-67.327468872070312
946685062.59020913,0.4095919132232666,0.25877740979194641,-10.80717658996582,0.45282796025276184,-0.1722734123468399,-10.80717658996582,0.22578346729278564,0.37692192196846008,-12.232913017272949,0.30533546209335327,1.6896787881851196,-71.628105163574219
946685062.6212455,0.064295962452888489,-0.073611289262771606,-10.481588363647461,-0.020283229649066925,-0.09560953825712204,-10.481588363647461,-0.020283229649066925,-0.09560953825712204,-10.481588363647461,0.30533546209335327,1.6896787881851196,-71.628105163574219
946685062.66033852,0.23514798283576965,0.088194355368614197,-10.193794250488281,0.21168418228626251,-0.13513928651809692,-10.193794250488281,0.095700472593307495,-0.11537441611289978,-10.337691307067871,0.30533546209335327,1.6896787881851196,-71.628105163574219
946685062.6993705,0.43007397651672363,-0.080902822315692902,-9.8778972625732422,0.19343802332878113,-0.39254379272460938,-9.8778972625732422,0.12827965617179871,-0.20776420831680298,-10.184426307678223,0.30533546209335327,1.6896787881851196,-71.628105163574219
946685062.73074257,0.074536994099617004,0.25604858994483948,-9.7199487686157227,0.24953331053256989,0.094073228538036346,-9.7199487686157227,0.1585930734872818,-0.132304847240448,-10.068306922912598,0.30533546209335327,1.6896787881851196,-71.628105163574219
946685062.769683,-0.25923150777816772,0.17452429234981537,-9.8909740447998047,-0.016011606901884079,0.31209507584571838,-9.8909740447998047,0.12367213517427444,-0.043424863368272781,-10.032840728759766,0.30533546209335327,1.6896787881851196,-71.628105163574219
946685062.800933,0.32338425517082214,0.13376215100288391,-9.3984870910644531,0.30109295248985291,-0.17836123704910278,-9.3984870910644531,0.15324227511882782,-0.065914258360862732,-9.9271154403686523,0.30533546209335327,1.6896787881851196,-71.628105163574219
946685062.8399955,-0.11930786073207855,0.16038107872009277,-9.6832437515258789,0.056663557887077332,0.19169166684150696,-9.6832437515258789,0.13944531977176666,-0.029113411903381348,-9.8922767639160156,0.30533546209335327,1.6896787881851196,-71.628105163574219
946685062.879058,-0.1531539261341095,0.2986905574798584,-9.07562255859375,0.14697100222110748,0.30178087949752808,-9.07562255859375,0.14038603007793427,0.01224837452173233,-9.7901954650878906,0.30533546209335327,1.6896787881851196,-71.628105163574219
946685062.9181205,-0.32657694816589355,0.11834527552127838,-9.6938114166259766,-0.10136803239583969,0.3322388231754303,-9.6938114166259766,0.11352446675300598,0.047802869230508804,-9.7794857025146484,0.30533546209335327,1.6896787881851196,-71.628105163574219
946685062.95715249,0.0082115232944488525,0.35567262768745422,-8.5969057083129883,0.28940394520759583,0.20691980421543121,-8.5969057083129883,0.13111241161823273,0.063714563846588135,-9.6612281799316406,0.34937703609466553,1.7110809087753296,-74.873382568359375
946685063.004058,0.066605761647224426,0.052836313843727112,-8.2359523773193359,0.082238875329494476,-0.021558543667197227,-8.2359523773193359,0.082238875329494476,-0.021558543667197227,-8.2359523773193359,0.34937703609466553,1.7110809087753296,-74.873382568359375
946685063.0431205,0.15830287337303162,0.43241813778877258,-8.430476188659668,0.44087702035903931,0.13293874263763428,-8.430476188659668,0.261557936668396,0.05569009855389595,-8.3332138061523438,0.34937703609466553,1.7110809087753296,-74.873382568359375
946685063.082183,0.048151437193155289,0.18520906567573547,-8.1992378234863281,0.17703667283058167,0.072656556963920593,-8.1992378234863281,0.23338417708873749,0.061345584690570831,-8.2885551452636719,0.34937703609466553,1.7110809087753296,-74.873382568359375
946685063.1212455,-0.038424283266067505,0.28010451793670654,-8.2556190490722656,0.2009703516960144,0.19886147975921631,-8.2556190490722656,0.22528071701526642,0.09572456032037735,-8.2803211212158203,0.34937703609466553,1.7110809087753296,-74.873382568359375
946685063.15255654,0.089787855744361877,0.29605227708816528,-8.7993097305297852,0.29068329930305481,0.10588689893484116,-8.7993097305297852,0.23836123943328857,0.097757026553153992,-8.3841190338134766,0.34937703609466553,1.7110809087753296,-74.873382568359375
946685063.19158852,0.27889391779899597,0.22602614760398865,-8.8211555480957031,0.34818309545516968,-0.087396658957004547,-8.8211555480957031,0.25666487216949463,0.066898077726364136,-8.4569587707519531,0.34937703609466553,1.7110809087753296,-74.873382568359375
946685063.22277749,0.014446958899497986,0.25351306796073914,-8.8165779113769531,0.21143712103366852,0.14061270654201508,-8.8165779113769531,0.25020375847816467,0.077428735792636871,-8.5083332061767578,0.34937703609466553,1.7110809087753296,-74.873382568359375
946685063.2618705,0.36622348427772522,0.048756532371044159,-8.5332889556884766,0.2588171660900116,-0.26364848017692566,-8.5332889556884766,0.25128042697906494,0.03479408472776413,-8.5114526748657227,0.34937703609466553,1.7110809087753296,-74.873382568359375
946685063.30096352,0.01161174476146698,0.086878269910812378,-8.2821445465087891,0.076457016170024872,0.042860139161348343,-8.2821445465087891,0.2318556010723114,0.035690311342477798,-8.4859743118286133,0.34937703609466553,1.7110809087753296,-74.873382568359375
946685063.33990395,-0.25969412922859192,0.30893915891647339,-8.6720724105834961,0.091218791902065277,0.39314574003219604,-8.6720724105834961,0.21779191493988037,0.071435853838920593,-8.5045843124389648,0.42252156138420105,1.7350723743438721,-77.7296142578125
