time,accel[0],accel[1],accel[2],global_accel[0],global_accel[1],global_accel[2],global_accel_avg[0],global_accel_avg[1],global_accel_avg[2]
1292281790.8993094,0.17574703693389893,-0.090215429663658142,-9.6489410400390625,0.17574703693389893,-0.090215429663658142,-9.6489410400390625,0.053193006664514542,-0.048231273889541626,-9.7939004898071289
1292281790.9643209,0.009873516857624054,-0.014107715338468552,-9.7459707260131836,0.009873516857624054,-0.014107715338468552,-9.7459707260131836,0.048861056566238403,-0.044818919152021408,-9.7891073226928711
1292281790.9913113,0.051436759531497955,-0.038053855299949646,-9.74798583984375,0.051436759531497955,-0.038053855299949646,-9.74798583984375,0.051436759531497955,-0.038053855299949646,-9.74798583984375
1292281791.0073113,0.025718379765748978,-0.034526929259300232,-9.811492919921875,0.025718379765748978,-0.034526929259300232,-9.811492919921875,0.038577571511268616,-0.036290392279624939,-9.7797393798828125
1292281791.0273118,-0.065140813589096069,-0.048263464123010635,-9.7182464599609375,-0.065140813589096069,-0.048263464123010635,-9.7182464599609375,0.0040047764778137207,-0.040281414985656738,-9.759242057800293
1292281791.0553114,0.013929594308137894,-0.024131732061505318,-9.7341232299804688,0.013929594308137894,-0.024131732061505318,-9.7341232299804688,0.0064859809353947639,-0.036243993788957596,-9.7529621124267578
1292281791.0713122,-0.039535202085971832,-0.058565866202116013,-9.7885618209838867,-0.039535202085971832,-0.058565866202116013,-9.7885618209838867,-0.0027182556223124266,-0.04070836678147316,-9.7600822448730469
1292281791.1073117,-0.066267602145671844,0.0017170663923025131,-9.8782806396484375,-0.066267602145671844,0.0017170663923025131,-9.8782806396484375,-0.013309813104569912,-0.033637460321187973,-9.7797822952270508
1292281791.1353126,-0.017633801326155663,-0.030141465365886688,-9.8451404571533203,-0.017633801326155663,-0.030141465365886688,-9.8451404571533203,-0.013927525840699673,-0.033138033002614975,-9.789118766784668
1292281791.1593122,0.069183103740215302,-0.030570732429623604,-9.8440704345703125,0.069183103740215302,-0.030570732429623604,-9.8440704345703125,-0.0035386970266699791,-0.032817121595144272,-9.7959880828857422
1292281791.2713146,0.14359155297279358,-0.046285364776849747,-9.7970352172851562,0.14359155297279358,-0.046285364776849747,-9.7970352172851562,0.012809108942747116,-0.034313593059778214,-9.7961044311523438
1292281791.3033147,0.11829577386379242,-0.10114268213510513,-9.7735176086425781,0.11829577386379242,-0.10114268213510513,-9.7735176086425781,0.023357775062322617,-0.040996503084897995,-9.7938461303710938
1292281791.3713162,0.02814788743853569,-0.081571340560913086,-9.8082590103149414,0.02814788743853569,-0.081571340560913086,-9.8082590103149414,0.02814788743853569,-0.081571340560913086,-9.8082590103149414
1292281791.407325,0.076573945581912994,-0.10328567028045654,-9.8101291656494141,0.076573945581912994,-0.10328567028045654,-9.8101291656494141,0.052360914647579193,-0.092428505420684814,-9.8091945648193359
1292281791.4633276,0.022786973044276237,-0.036142833530902863,-9.7955646514892578,0.022786973044276237,-0.036142833530902863,-9.7955646514892578,0.042502932250499725,-0.073666617274284363,-9.8046512603759766
1292281791.4913173,-0.004106513224542141,-0.033571414649486542,-9.8352823257446289,-0.004106513224542141,-0.033571414649486542,-9.8352823257446289,0.030850570648908615,-0.063642814755439758,-9.8123092651367188
1292281791.5193272,0.07594674825668335,-0.032285705208778381,-9.8081417083740234,0.07594674825668335,-0.032285705208778381,-9.8081417083740234,0.039869807660579681,-0.057371392846107483,-9.8114757537841797
1292281791.539324,0.17847336828708649,-0.0941428542137146,-9.7945709228515625,0.17847336828708649,-0.0941428542137146,-9.7945709228515625,0.062970399856567383,-0.063499972224235535,-9.8086585998535156
1292281791.5633225,0.12023667991161346,-0.0470714271068573,-9.7562856674194336,0.12023667991161346,-0.0470714271068573,-9.7562856674194336,0.071151293814182281,-0.06115303561091423,-9.8011770248413086
1292281791.6073198,0.091118335723876953,-0.039035715162754059,-9.7841434478759766,0.091118335723876953,-0.039035715162754059,-9.7841434478759766,0.073647171258926392,-0.058388371020555496,-9.7990474700927734
1292281791.7993197,-0.016940832138061523,-0.03501785546541214,-9.8760719299316406,-0.016940832138061523,-0.03501785546541214,-9.8760719299316406,0.063581839203834534,-0.055791646242141724,-9.8076057434082031
1292281791.8193188,0.17902958393096924,-0.01750892773270607,-9.8755359649658203,0.17902958393096924,-0.01750892773270607,-9.8755359649658203,0.075126610696315765,-0.051963374018669128,-9.8143987655639648
1292281791.88732,0.0585147924721241,-0.024254463613033295,-9.9062681198120117,0.0585147924721241,-0.024254463613033295,-9.9062681198120117,0.0585147924721241,-0.024254463613033295,-9.9062681198120117
